,Comments
0,I had read the newspaper completely but did not know where Nirmala Sitharaman ji had kept all this hidden.
1,If you want to get success in life then<br> believe in hard work<br> try luck then it is in gambling
2,"If you don't trust yourself, why else would someone else?"
3,"If the budget was presented in Hindi, then the common citizens of the whole of India would understand easily.<br> Is the budget presented only for the sake of listening to a few selected people??????<br> If it is not so, then budget in Hindi be presented in"
4,"If we have the passion to be successful, then difficulties will never stop us from being successful."
5,Very important class is for competitive candidates.<br>For budget 2022.<br>Thank you very much sir.
6,very beautiful
7,"Wonderful unique explanation,"
8,stunning......
9,Blind devotees have seen the chaiwala's budget plate now.
10,Pomegranate Papaya Amla Bathua Garlic Fenugreek Dana Pani Ban Gaya Has the college been asked to do something for you Congratulating Maa Saraswati ji and Saba
11,Experience says that. <br>People don't care about whether you are happy or not<br>They care how much you can keep people happy
12,tell me your name
13,Tell your weakness to those people who know how to stand by your compulsion in any situation because if there is trust in relationship and network in mobile then people start playing games.
14,I will not bow down
15,"The only difference between arrogant and self-respecting is that a self-respecting person never asks for anything from anyone, and a proud person never gives anything to anyone."
16,"Oho . Open my wings, the bird tells me <br>There is still more flight left <br>Now it is measured, a handful of land is still measured"
17,"Hey brother, I got goosebumps as soon as I started the video."
18,"Educate the uneducated, Knowledge to the wise... Only education can make India great"
19,"Ego belongs to the one who gets everything without any struggle and the one who has achieved by his hard work, he values ​​the hard work of others<br>( 🙏🙏🙏 Thank you very much Guru ji was very wonderful 🙏🙏🙏 )"
20,"Keep water in your eyes, keep a spark on your lips,<br>If you want to survive, keep many tricks,<br>Nothing is bigger than the stone of the path, the destinations,<br>The path gives sound, keep on traveling."
21,"Got a desire in my eyes, accepted the destination as my own<br>what is difficult, what is easy, if you decide, then you have decided.❤️❤️🙏"
22,"There is a lot of sleep in the eyes but there is no sleep, this is the time to do something, my friend, do not lose it jay hind ♥️"
23,"There is a lot of sleep in the eyes but there is no sleep, this is the time to do something, my friend, do not lose it jay hind ♥️"
24,Today education in India is taking the highest tax.
25,today i am very sad that i make motivation video but no one
26,Today everything is cleared in one go sir.
27,Confidence and hard work<br>will always earn you success <br>!!✌✌✌
28,I am happy sir after reading the budget.
29,Where are you from?
30,"As much is said about you and less is said <br>You are God for our bright future <br>Thank you Gurudev, I have found my proof at your feet....."
31,"Whatever you write, you write from the heart"
32,Many thanks to teachers like you guys
33,Thank you very much for your hard work
34,"A guru like you is one in the world, he is you remember everything you said at once Jai Hind Guru ji.....jitna thanks bole koi bahut kam hai sir 🙏🙏🙏🙏🙏🙏🙏🙏🙏"
35,I bow down to your way of teaching. There will hardly be anyone who can explain so well.<br>Thank you very much sir....
36,You have to get up every morning with determination<br>if you want to go to bed<br>every night with satisfaction<br>.💯💯💯jai hind
37,You memorized the budget sir in 50min<br>Your special thanks sir..!!!<br>🙏🙏🙏🙏🙏🙏🙏🙏
38,The one who waits gets only what the toiler gives up nice budget class
39,Thank you very much Guruji for explaining the budget so well
40,"After reading such a wonderful budget, the mind became budgetary, thank you very much sir for teaching such a wonderful budget."
41,Never had such a bad budget
42,Thank you so much for explaining the budget in such detail.
43,"Hearing their language, I feel as if I am watching Pakistani news channel."
44,For hand written notes of this class visit this chhennl
45,Where will I get its PDF sir...?
46,It did nothing for the unemployed youth
47,"Arise, wake up and don't stop till then. <br> Until the goal is achieved"
48,"Arise, wake up and don't stop till then. <br> Until the goal is achieved"
49,"Arise, wake up and don't stop till then. <br> Until the goal is achieved"
50,am available
51,Salutations to the mother who has given birth to a great man like you.
52,"The one above also believes in hard work more than luck, so he makes fingers before the lines."
53,A good teacher is he.<br>Who ignites himself like a flame of a lamp and helps every student to reach the ladder of success<br> by taking him out of the darkness of struggle<br>being his shield.
54,A good teacher is he.<br>Who ignites himself like a flame of a lamp and helps every student to reach the ladder of success<br> by taking him out of the darkness of struggle<br>being his shield.
55,There's a lollipop that ends in 25 minutes <br>And now it's a lollipop for 25 years <br>Suck and be tight
56,"After one dream is shattered, the courage to dream another dream is called life."
57,There is more power in a pen than a sword.
58,"Such a budget clause was not found in the entire you tube. I understood the budget very well in Kumar Gaurav sir's clause, sir, you teach very well, sir ️you🙏🏻🙏🏻🙏🏻"
59,Om Ganapati Namah:
60,veritable poison class sir 🙏🙏
61,"How long to carry the burden? How far should the duality be maintained, India is written on both sides. The same coin should be tossed, you are also a descendant of Rana, throw as far as the spear goes."
62,"How long to carry the burden? How far should the duality be maintained, India is written on both sides. The coin should be tossed, you are also the descendant of Rana, throw as far as the spear goes."
63,Sometimes seeing someone's passion brings passion in itself.
